x,y,v
-11771.1,-11377.7,4934.3
-11656.7,-11494.8,4934.3
-11541.2,-11610.8,4934.3
-11424.5,-11725.7,4934.3
-11306.6,-11839.3,4934.3
-11187.7,-11951.8,4934.3
-11067.6,-12063.1,4934.3
-10946.4,-12173.1,4934.3
-10824.2,-12282,4934.3
-10700.8,-12389.6,4934.3
-10576.4,-12496,4934.3
-10450.9,-12601.1,4934.3
-10324.4,-12705,4934.3
-10196.8,-12807.6,4934.3
-10068.2,-12908.9,4934.3
-9938.61,-13009,4934.3
-9808.03,-13107.7,4934.3
-9676.46,-13205.1,4934.3
-9543.93,-13301.2,4934.3
-9410.44,-13396,4934.3
-9276.01,-13489.4,4934.3
-9140.66,-13581.5,4934.3
-9004.39,-13672.3,4934.3
-8867.22,-13761.6,4934.3
-8729.16,-13849.6,4934.3
-8590.23,-13936.2,4934.3
-8450.44,-14021.4,4934.3
-8309.81,-14105.2,4934.3
-8168.34,-14187.6,4934.3
-8026.06,-14268.6,4934.3
-7882.98,-14348.1,4934.3
-7739.1,-14426.2,4934.3
-7594.46,-14502.9,4934.3
-7449.05,-14578.1,4934.3
-7302.9,-14651.9,4934.3
-7156.02,-14724.2,4934.3
-7008.42,-14795,4934.3
-6860.12,-14864.3,4934.3
-6711.14,-14932.2,4934.3
-6561.48,-14998.6,4934.3
-6411.17,-15063.4,4934.3
-6260.22,-15126.8,4934.3
-6108.64,-15188.6,4934.3
-5956.45,-15248.9,4934.3
-5803.67,-15307.7,4934.3
-5650.3,-15365,4934.3
-5496.37,-15420.7,4934.3
-5341.89,-15474.9,4934.3
-5186.88,-15527.6,4934.3
-5031.35,-15578.7,4934.3
-4875.31,-15628.2,4934.3
-4718.79,-15676.2,4934.3
-4561.79,-15722.6,4934.3
-4404.34,-15767.4,4934.3
-4246.45,-15810.7,4934.3
-4088.13,-15852.3,4934.3
-3929.41,-15892.4,4934.3
-3770.29,-15930.9,4934.3
-3610.79,-15967.8,4934.3
-3450.94,-16003.1,4934.3
-3290.74,-16036.9,4934.3
-3130.21,-16069,4934.3
-2969.36,-16099.5,4934.3
-2808.22,-16128.3,4934.3
-2646.8,-16155.6,4934.3
-2485.12,-16181.3,4934.3
-2323.18,-16205.3,4934.3
-2161.01,-16227.7,4934.3
-1998.63,-16248.5,4934.3
-1836.05,-16267.7,4934.3
-1673.28,-16285.3,4934.3
-1510.35,-16301.2,4934.3
-1347.26,-16315.5,4934.3
-1184.05,-16328.1,4934.3
-1020.71,-16339.1,4934.3
-857.268,-16348.5,4934.3
-693.742,-16356.3,4934.3
-530.147,-16362.4,4934.3
-366.499,-16366.9,4934.3
-202.815,-16369.7,4934.3
-39.11,-16371,4934.3
124.599,-16370.5,4934.3
288.295,-16368.5,4934.3
451.963,-16364.8,4934.3
615.585,-16359.4,4934.3
779.146,-16352.4,4934.3
942.628,-16343.8,4934.3
1106.02,-16333.6,4934.3
1269.29,-16321.7,4934.3
1432.45,-16308.2,4934.3
1595.45,-16293.1,4934.3
1758.3,-16276.3,4934.3
1920.97,-16257.9,4934.3
2083.45,-16237.9,4934.3
2245.73,-16216.2,4934.3
2407.77,-16193,4934.3
2569.58,-16168.1,4934.3
2731.13,-16141.6,4934.3
2892.41,-16113.5,4934.3
3053.39,-16083.7,4934.3
3214.08,-16052.4,4934.3
3374.44,-16019.5,4934.3
3534.46,-15984.9,4934.3
3694.13,-15948.8,4934.3
3853.43,-15911,4934.3
4012.34,-15871.7,4934.3
4170.86,-15830.8,4934.3
4328.95,-15788.3,4934.3
4486.62,-15744.2,4934.3
4643.83,-15698.5,4934.3
4800.58,-15651.3,4934.3
4956.85,-15602.5,4934.3
